foi_name	foi_obs	n_fois	bg_obs	n_bgs	odds_ratio	p_val	test_type		
hdl_cholesterol	6	133	566	16247	1.31	4.72e-01	Fisher-Exact		
breast_cancer	10	142	566	16247	2.12	3.33e-02	Fisher-Exact		
metabolite_levels	4	98	566	16247	1.18	5.86e-01	Fisher-Exact		
platelet_counts	7	76	566	16247	2.83	1.65e-02	Fisher-Exact		
rheumatoid_arthritis	11	185	566	16247	1.77	1.02e-01	Chi-squared		
systemic_lupus_erythematosus	8	90	566	16247	2.73	1.31e-02	Fisher-Exact		
###H3K4me3_Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	8	27	1396	16247	4.50	1.46e-03	Fisher-Exact		
cholesterol__total	11	89	1396	16247	1.50	2.79e-01	Chi-squared		
ulcerative_colitis	9	115	1396	16247	0.90	1.00e+00	Fisher-Exact		
crohns_disease	20	193	1396	16247	1.23	4.51e-01	Chi-squared		
c-reactive_protein	5	46	1396	16247	1.30	5.93e-01	Fisher-Exact		
type_2_diabetes	16	192	1396	16247	0.97	9.99e-01	Chi-squared		
multiple_sclerosis	21	162	1396	16247	1.59	6.37e-02	Chi-squared		
type_1_diabetes	3	78	1396	16247	0.42	1.57e-01	Fisher-Exact		
inflammatory_bowel_disease	20	117	1396	16247	2.21	1.76e-03	Chi-squared		
ldl_cholesterol	12	103	1396	16247	1.41	3.50e-01	Chi-squared		
celiac_disease	7	58	1396	16247	1.46	3.43e-01	Fisher-Exact		
hdl_cholesterol	18	133	1396	16247	1.67	5.92e-02	Chi-squared		
breast_cancer	23	142	1396	16247	2.07	1.95e-03	Chi-squared		
metabolite_levels	6	98	1396	16247	0.69	4.72e-01	Fisher-Exact		
platelet_counts	17	76	1396	16247	3.09	4.31e-05	Chi-squared		
rheumatoid_arthritis	20	185	1396	16247	1.29	3.42e-01	Chi-squared		
systemic_lupus_erythematosus	15	90	1396	16247	2.14	1.07e-02	Chi-squared		
###H3K4me3_CD8_Naive_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	27	662	16247	5.38	4.24e-03	Fisher-Exact		
cholesterol__total	7	89	662	16247	2.02	9.52e-02	Fisher-Exact		
ulcerative_colitis	9	115	662	16247	2.01	5.35e-02	Fisher-Exact		
crohns_disease	15	193	662	16247	2.01	1.51e-02	Chi-squared		
c-reactive_protein	2	46	662	16247	1.07	7.12e-01	Fisher-Exact		
type_2_diabetes	6	192	662	16247	0.76	7.11e-01	Fisher-Exact		
multiple_sclerosis	21	162	662	16247	3.59	2.83e-08	Chi-squared		
type_1_diabetes	10	78	662	16247	3.50	1.22e-03	Fisher-Exact		
inflammatory_bowel_disease	18	117	662	16247	4.37	2.29e-09	Chi-squared		
ldl_cholesterol	5	103	662	16247	1.20	6.14e-01	Fisher-Exact		
celiac_disease	10	58	662	16247	4.96	1.05e-04	Fisher-Exact		
hdl_cholesterol	5	133	662	16247	0.92	1.00e+00	Fisher-Exact		
breast_cancer	11	142	662	16247	1.99	4.45e-02	Chi-squared		
metabolite_levels	5	98	662	16247	1.27	6.02e-01	Fisher-Exact		
platelet_counts	9	76	662	16247	3.19	3.65e-03	Fisher-Exact		
rheumatoid_arthritis	16	185	662	16247	2.26	2.90e-03	Chi-squared		
systemic_lupus_erythematosus	8	90	662	16247	2.31	3.02e-02	Fisher-Exact		
###H3K4me3_Adipose_Nuclei	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	27	1301	16247	3.29	1.79e-02	Fisher-Exact		
cholesterol__total	6	89	1301	16247	0.83	8.45e-01	Fisher-Exact		
ulcerative_colitis	15	115	1301	16247	1.73	6.81e-02	Chi-squared		
crohns_disease	22	193	1301	16247	1.49	1.07e-01	Chi-squared		
c-reactive_protein	5	46	1301	16247	1.40	4.14e-01	Fisher-Exact		
type_2_diabetes	17	192	1301	16247	1.12	7.63e-01	Chi-squared		
multiple_sclerosis	27	162	1301	16247	2.33	8.30e-05	Chi-squared		
type_1_diabetes	6	78	1301	16247	0.96	1.00e+00	Fisher-Exact		
inflammatory_bowel_disease	26	117	1301	16247	3.33	3.50e-08	Chi-squared		
ldl_cholesterol	8	103	1301	16247	0.97	1.00e+00	Fisher-Exact		
celiac_disease	6	58	1301	16247	1.33	4.65e-01	Fisher-Exact		
hdl_cholesterol	16	133	1301	16247	1.58	1.20e-01	Chi-squared		
breast_cancer	21	142	1301	16247	2.01	4.58e-03	Chi-squared		
metabolite_levels	8	98	1301	16247	1.02	8.53e-01	Fisher-Exact		
platelet_counts	18	76	1301	16247	3.60	1.33e-06	Chi-squared		
rheumatoid_arthritis	20	185	1301	16247	1.40	2.02e-01	Chi-squared		
systemic_lupus_erythematosus	14	90	1301	16247	2.13	1.43e-02	Chi-squared		
###H3K4me3_CD8_Memory_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	27	742	16247	4.77	6.85e-03	Fisher-Exact		
cholesterol__total	7	89	742	16247	1.79	1.27e-01	Fisher-Exact		
ulcerative_colitis	11	115	742	16247	2.23	1.87e-02	Chi-squared		
crohns_disease	20	193	742	16247	2.45	2.10e-04	Chi-squared		
c-reactive_protein	2	46	742	16247	0.95	1.00e+00	Fisher-Exact		
type_2_diabetes	6	192	742	16247	0.67	4.83e-01	Fisher-Exact		
multiple_sclerosis	23	162	742	16247	3.54	1.12e-08	Chi-squared		
type_1_diabetes	11	78	742	16247	3.47	1.62e-04	Chi-squared		
inflammatory_bowel_disease	22	117	742	16247	4.96	6.94e-13	Chi-squared		
ldl_cholesterol	5	103	742	16247	1.07	8.12e-01	Fisher-Exact		
celiac_disease	10	58	742	16247	4.40	2.65e-04	Fisher-Exact		
hdl_cholesterol	7	133	742	16247	1.16	6.74e-01	Fisher-Exact		
breast_cancer	11	142	742	16247	1.77	1.05e-01	Chi-squared		
metabolite_levels	5	98	742	16247	1.12	8.05e-01	Fisher-Exact		
platelet_counts	8	76	742	16247	2.47	2.23e-02	Fisher-Exact		
rheumatoid_arthritis	22	185	742	16247	2.88	3.79e-06	Chi-squared		
systemic_lupus_erythematosus	11	90	742	16247	2.94	1.22e-03	Chi-squared		
###H3K4me3_Brain_Hippocampus_Middle	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	27	767	16247	4.61	7.86e-03	Fisher-Exact		
cholesterol__total	8	89	767	16247	2.00	7.23e-02	Fisher-Exact		
ulcerative_colitis	6	115	767	16247	1.11	8.23e-01	Fisher-Exact		
crohns_disease	9	193	767	16247	0.99	1.00e+00	Fisher-Exact		
c-reactive_protein	3	46	767	16247	1.41	4.79e-01	Fisher-Exact		
type_2_diabetes	6	192	767	16247	0.65	3.90e-01	Fisher-Exact		
multiple_sclerosis	10	162	767	16247	1.33	3.51e-01	Fisher-Exact		
type_1_diabetes	4	78	767	16247	1.09	7.87e-01	Fisher-Exact		
inflammatory_bowel_disease	12	117	767	16247	2.33	8.93e-03	Chi-squared		
ldl_cholesterol	9	103	767	16247	1.94	6.11e-02	Fisher-Exact		
celiac_disease	3	58	767	16247	1.10	7.54e-01	Fisher-Exact		
hdl_cholesterol	8	133	767	16247	1.29	4.13e-01	Fisher-Exact		
breast_cancer	11	142	767	16247	1.70	1.31e-01	Chi-squared		
metabolite_levels	7	98	767	16247	1.56	2.31e-01	Fisher-Exact		
platelet_counts	10	76	767	16247	3.09	2.95e-03	Fisher-Exact		
rheumatoid_arthritis	12	185	767	16247	1.41	3.35e-01	Chi-squared		
systemic_lupus_erythematosus	7	90	767	16247	1.71	2.02e-01	Fisher-Exact		
###H3K4me3_Brain_Inferior_Temporal_Lobe	Strand: Both	Score threshold: NA	No Description###
telomere_length	3	27	588	16247	3.34	7.26e-02	Fisher-Exact		
cholesterol__total	5	89	588	16247	1.59	2.57e-01	Fisher-Exact		
ulcerative_colitis	3	115	588	16247	0.71	8.01e-01	Fisher-Exact		
crohns_disease	6	193	588	16247	0.85	8.47e-01	Fisher-Exact		
c-reactive_protein	3	46	588	16247	1.86	2.32e-01	Fisher-Exact		
type_2_diabetes	6	192	588	16247	0.86	1.00e+00	Fisher-Exact		
multiple_sclerosis	8	162	588	16247	1.39	3.91e-01	Fisher-Exact		
type_1_diabetes	1	78	588	16247	0.34	5.33e-01	Fisher-Exact		
inflammatory_bowel_disease	10	117	588	16247	2.51	9.96e-03	Fisher-Exact		
ldl_cholesterol	7	103	588	16247	1.95	1.02e-01	Fisher-Exact		
celiac_disease	2	58	588	16247	0.95	1.00e+00	Fisher-Exact		
hdl_cholesterol	8	133	588	16247	1.71	1.54e-01	Fisher-Exact		
breast_cancer	7	142	588	16247	1.39	3.63e-01	Fisher-Exact		
metabolite_levels	6	98	588	16247	1.74	1.71e-01	Fisher-Exact		
platelet_counts	9	76	588	16247	3.62	1.65e-03	Fisher-Exact		
rheumatoid_arthritis	9	185	588	16247	1.37	3.22e-01	Fisher-Exact		
systemic_lupus_erythematosus	6	90	588	16247	1.91	1.44e-01	Fisher-Exact		
###H3K4me3_Brain_Cingulate_Gyrus	Strand: Both	Score threshold: NA	No Description###
telomere_length	3	27	622	16247	3.15	8.28e-02	Fisher-Exact		
cholesterol__total	6	89	622	16247	1.82	1.57e-01	Fisher-Exact		
ulcerative_colitis	3	115	622	16247	0.67	8.04e-01	Fisher-Exact		
crohns_disease	6	193	622	16247	0.80	8.49e-01	Fisher-Exact		
c-reactive_protein	3	46	622	16247	1.76	2.58e-01	Fisher-Exact		
type_2_diabetes	6	192	622	16247	0.81	8.49e-01	Fisher-Exact		
multiple_sclerosis	10	162	622	16247	1.66	1.43e-01	Fisher-Exact		
type_1_diabetes	3	78	622	16247	1.00	1.00e+00	Fisher-Exact		
inflammatory_bowel_disease	9	117	622	16247	2.11	4.59e-02	Fisher-Exact		
ldl_cholesterol	7	103	622	16247	1.84	1.18e-01	Fisher-Exact		
celiac_disease	2	58	622	16247	0.90	1.00e+00	Fisher-Exact		
hdl_cholesterol	7	133	622	16247	1.40	3.59e-01	Fisher-Exact		
breast_cancer	8	142	622	16247	1.51	2.65e-01	Fisher-Exact		
metabolite_levels	6	98	622	16247	1.64	2.79e-01	Fisher-Exact		
platelet_counts	9	76	622	16247	3.41	2.41e-03	Fisher-Exact		
rheumatoid_arthritis	8	185	622	16247	1.14	6.98e-01	Fisher-Exact		
systemic_lupus_erythematosus	6	90	622	16247	1.80	1.60e-01	Fisher-Exact		
###H3K4me3_CD19_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	3	27	469	16247	4.23	4.19e-02	Fisher-Exact		
cholesterol__total	2	89	469	16247	0.77	1.00e+00	Fisher-Exact		
ulcerative_colitis	4	115	469	16247	1.21	5.76e-01	Fisher-Exact		
crohns_disease	11	193	469	16247	2.06	3.30e-02	Chi-squared		
c-reactive_protein	2	46	469	16247	1.53	3.85e-01	Fisher-Exact		
type_2_diabetes	5	192	469	16247	0.90	1.00e+00	Fisher-Exact		
multiple_sclerosis	12	162	469	16247	2.74	1.29e-03	Chi-squared		
type_1_diabetes	4	78	469	16247	1.83	2.90e-01	Fisher-Exact		
inflammatory_bowel_disease	15	117	469	16247	5.08	7.11e-10	Chi-squared		
ldl_cholesterol	2	103	469	16247	0.66	7.72e-01	Fisher-Exact		
celiac_disease	5	58	469	16247	3.20	2.57e-02	Fisher-Exact		
hdl_cholesterol	2	133	469	16247	0.51	5.96e-01	Fisher-Exact		
breast_cancer	4	142	469	16247	0.97	1.00e+00	Fisher-Exact		
metabolite_levels	4	98	469	16247	1.44	3.70e-01	Fisher-Exact		
platelet_counts	7	76	469	16247	3.45	6.29e-03	Fisher-Exact		
rheumatoid_arthritis	16	185	469	16247	3.26	7.23e-06	Chi-squared		
systemic_lupus_erythematosus	9	90	469	16247	3.79	1.15e-03	Fisher-Exact		
###H3K4me3_Pancreatic_Islets	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	27	566	16247	6.34	2.15e-03	Fisher-Exact		
cholesterol__total	7	89	566	16247	2.38	3.56e-02	Fisher-Exact		
ulcerative_colitis	2	115	566	16247	0.49	4.43e-01	Fisher-Exact		
crohns_disease	9	193	566	16247	1.36	3.24e-01	Fisher-Exact		
c-reactive_protein	3	46	566	16247	1.94	2.15e-01	Fisher-Exact		
type_2_diabetes	13	192	566	16247	2.04	2.14e-02	Chi-squared		
multiple_sclerosis	7	162	566	16247	1.25	5.15e-01	Fisher-Exact		
type_1_diabetes	3	78	566	16247	1.11	7.53e-01	Fisher-Exact		
inflammatory_bowel_disease	7	117	566	16247	1.77	1.30e-01	Fisher-Exact		
ldl_cholesterol	8	103	566	16247	2.35	2.74e-02	Fisher-Exact		
celiac_disease	2	58	566	16247	0.99	1.00e+00	Fisher-Exact		
hdl_cholesterol	8	133	566	16247	1.78	1.45e-01	Fisher-Exact		
breast_cancer	8	142	566	16247	1.66	1.62e-01	Fisher-Exact		
metabolite_levels	7	98	566	16247	2.15	8.56e-02	Fisher-Exact		
platelet_counts	6	76	566	16247	2.39	4.90e-02	Fisher-Exact		
rheumatoid_arthritis	7	185	566	16247	1.09	8.39e-01	Fisher-Exact		
systemic_lupus_erythematosus	6	90	566	16247	1.99	1.35e-01	Fisher-Exact		
###H3K4me3_Duodenum_Mucosa	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	27	899	16247	3.90	1.50e-02	Fisher-Exact		
cholesterol__total	12	89	899	16247	2.68	2.24e-03	Chi-squared		
ulcerative_colitis	12	115	899	16247	2.00	3.55e-02	Chi-squared		
crohns_disease	19	193	899	16247	1.88	1.32e-02	Chi-squared		
c-reactive_protein	3	46	899	16247	1.19	7.41e-01	Fisher-Exact		
type_2_diabetes	9	192	899	16247	0.84	7.51e-01	Fisher-Exact		
multiple_sclerosis	15	162	899	16247	1.75	5.59e-02	Chi-squared		
type_1_diabetes	5	78	899	16247	1.17	6.21e-01	Fisher-Exact		
inflammatory_bowel_disease	22	117	899	16247	4.03	1.07e-09	Chi-squared		
ldl_cholesterol	12	103	899	16247	2.27	1.21e-02	Chi-squared		
celiac_disease	6	58	899	16247	1.98	1.37e-01	Fisher-Exact		
hdl_cholesterol	11	133	899	16247	1.55	2.32e-01	Chi-squared		
breast_cancer	12	142	899	16247	1.58	1.79e-01	Chi-squared		
metabolite_levels	7	98	899	16247	1.32	5.01e-01	Fisher-Exact		
platelet_counts	8	76	899	16247	2.02	7.15e-02	Fisher-Exact		
rheumatoid_arthritis	14	185	899	16247	1.40	2.91e-01	Chi-squared		
systemic_lupus_erythematosus	10	90	899	16247	2.15	3.26e-02	Fisher-Exact		
###H3K4me3_Colonic_Mucosa	Strand: Both	Score threshold: NA	No Description###
telomere_length	4	27	680	16247	4.00	2.48e-02	Fisher-Exact		
cholesterol__total	7	89	680	16247	1.96	1.01e-01	Fisher-Exact		
ulcerative_colitis	10	115	680	16247	2.20	2.96e-02	Fisher-Exact		
crohns_disease	14	193	680	16247	1.81	4.99e-02	Chi-squared		
c-reactive_protein	3	46	680	16247	1.60	4.42e-01	Fisher-Exact		
type_2_diabetes	6	192	680	16247	0.74	5.87e-01	Fisher-Exact		
multiple_sclerosis	13	162	680	16247	2.02	2.41e-02	Chi-squared		
type_1_diabetes	2	78	680	16247	0.60	7.74e-01	Fisher-Exact		
inflammatory_bowel_disease	15	117	680	16247	3.42	8.61e-06	Chi-squared		
ldl_cholesterol	9	103	680	16247	2.21	4.07e-02	Fisher-Exact		
celiac_disease	3	58	680	16247	1.25	7.35e-01	Fisher-Exact		
hdl_cholesterol	6	133	680	16247	1.08	8.26e-01	Fisher-Exact		
breast_cancer	9	142	680	16247	1.56	2.01e-01	Fisher-Exact		
metabolite_levels	5	98	680	16247	1.23	6.08e-01	Fisher-Exact		
platelet_counts	9	76	680	16247	3.10	4.35e-03	Fisher-Exact		
rheumatoid_arthritis	14	185	680	16247	1.89	3.35e-02	Chi-squared		
systemic_lupus_erythematosus	7	90	680	16247	1.94	1.04e-01	Fisher-Exact		
###H3K4me3_Brain_Substantia_Nigra	Strand: Both	Score threshold: NA	No Description###
telomere_length	6	27	747	16247	5.97	1.20e-03	Fisher-Exact		
cholesterol__total	8	89	747	16247	2.06	6.70e-02	Fisher-Exact		
ulcerative_colitis	6	115	747	16247	1.14	6.55e-01	Fisher-Exact		
crohns_disease	7	193	747	16247	0.78	7.28e-01	Fisher-Exact		
c-reactive_protein	3	46	747	16247	1.45	4.70e-01	Fisher-Exact		
type_2_diabetes	5	192	747	16247	0.55	2.25e-01	Fisher-Exact		
multiple_sclerosis	11	162	747	16247	1.52	2.50e-01	Chi-squared		
type_1_diabetes	2	78	747	16247	0.54	5.87e-01	Fisher-Exact		
inflammatory_bowel_disease	10	117	747	16247	1.95	6.97e-02	Fisher-Exact		
ldl_cholesterol	11	103	747	16247	2.50	6.52e-03	Chi-squared		
celiac_disease	3	58	747	16247	1.13	7.49e-01	Fisher-Exact		
hdl_cholesterol	7	133	747	16247	1.15	6.75e-01	Fisher-Exact		
breast_cancer	9	142	747	16247	1.41	3.10e-01	Fisher-Exact		
metabolite_levels	7	98	747	16247	1.60	2.21e-01	Fisher-Exact		
platelet_counts	11	76	747	16247	3.55	1.20e-04	Chi-squared		
rheumatoid_arthritis	9	185	747	16247	1.06	8.59e-01	Fisher-Exact		
systemic_lupus_erythematosus	7	90	747	16247	1.76	1.97e-01	Fisher-Exact		
###H3K4me3_Mobilized_CD34_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	7	27	1246	16247	4.23	3.48e-03	Fisher-Exact		
cholesterol__total	7	89	1246	16247	1.03	8.42e-01	Fisher-Exact		
ulcerative_colitis	18	115	1246	16247	2.25	2.27e-03	Chi-squared		
crohns_disease	30	193	1246	16247	2.25	6.34e-05	Chi-squared		
c-reactive_protein	3	46	1246	16247	0.84	1.00e+00	Fisher-Exact		
type_2_diabetes	12	192	1246	16247	0.80	5.44e-01	Chi-squared		
multiple_sclerosis	27	162	1246	16247	2.44	2.96e-05	Chi-squared		
type_1_diabetes	10	78	1246	16247	1.78	8.87e-02	Fisher-Exact		
inflammatory_bowel_disease	33	117	1246	16247	4.83	2.33e-16	Chi-squared		
ldl_cholesterol	8	103	1246	16247	1.01	8.54e-01	Fisher-Exact		
celiac_disease	7	58	1246	16247	1.66	2.11e-01	Fisher-Exact		
hdl_cholesterol	15	133	1246	16247	1.54	1.59e-01	Chi-squared		
breast_cancer	19	142	1246	16247	1.87	1.59e-02	Chi-squared		
metabolite_levels	9	98	1246	16247	1.22	5.65e-01	Fisher-Exact		
platelet_counts	25	76	1246	16247	6.00	7.17e-16	Chi-squared		
rheumatoid_arthritis	26	185	1246	16247	1.99	1.67e-03	Chi-squared		
systemic_lupus_erythematosus	14	90	1246	16247	2.23	8.77e-03	Chi-squared		
###H3K4me3_Adult_Liver	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	27	1034	16247	3.36	2.59e-02	Fisher-Exact		
cholesterol__total	19	89	1034	16247	4.05	2.29e-08	Chi-squared		
ulcerative_colitis	7	115	1034	16247	0.95	1.00e+00	Fisher-Exact		
crohns_disease	11	193	1034	16247	0.89	8.16e-01	Chi-squared		
c-reactive_protein	13	46	1034	16247	5.86	7.05e-09	Chi-squared		
type_2_diabetes	11	192	1034	16247	0.89	8.31e-01	Chi-squared		
multiple_sclerosis	13	162	1034	16247	1.29	4.79e-01	Chi-squared		
type_1_diabetes	3	78	1034	16247	0.59	4.87e-01	Fisher-Exact		
inflammatory_bowel_disease	13	117	1034	16247	1.85	5.47e-02	Chi-squared		
ldl_cholesterol	20	103	1034	16247	3.60	1.59e-07	Chi-squared		
celiac_disease	5	58	1034	16247	1.39	4.17e-01	Fisher-Exact		
hdl_cholesterol	22	133	1034	16247	2.96	3.33e-06	Chi-squared		
breast_cancer	8	142	1034	16247	0.88	8.63e-01	Fisher-Exact		
metabolite_levels	15	98	1034	16247	2.68	6.04e-04	Chi-squared		
platelet_counts	12	76	1034	16247	2.78	1.70e-03	Chi-squared		
rheumatoid_arthritis	11	185	1034	16247	0.93	9.34e-01	Chi-squared		
systemic_lupus_erythematosus	9	90	1034	16247	1.64	1.87e-01	Fisher-Exact		
###H3K4me3_Duodenum_Smooth_Muscle	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	27	736	16247	4.82	6.62e-03	Fisher-Exact		
cholesterol__total	8	89	736	16247	2.09	6.44e-02	Fisher-Exact		
ulcerative_colitis	9	115	736	16247	1.80	1.08e-01	Fisher-Exact		
crohns_disease	15	193	736	16247	1.79	4.50e-02	Chi-squared		
c-reactive_protein	2	46	736	16247	0.96	1.00e+00	Fisher-Exact		
type_2_diabetes	6	192	736	16247	0.68	4.82e-01	Fisher-Exact		
multiple_sclerosis	12	162	736	16247	1.70	1.14e-01	Chi-squared		
type_1_diabetes	3	78	736	16247	0.84	1.00e+00	Fisher-Exact		
inflammatory_bowel_disease	16	117	736	16247	3.39	5.35e-06	Chi-squared		
ldl_cholesterol	7	103	736	16247	1.54	2.35e-01	Fisher-Exact		
celiac_disease	4	58	736	16247	1.56	3.35e-01	Fisher-Exact		
hdl_cholesterol	7	133	736	16247	1.17	6.72e-01	Fisher-Exact		
breast_cancer	9	142	736	16247	1.43	3.05e-01	Fisher-Exact		
metabolite_levels	7	98	736	16247	1.63	2.16e-01	Fisher-Exact		
platelet_counts	10	76	736	16247	3.22	2.19e-03	Fisher-Exact		
rheumatoid_arthritis	11	185	736	16247	1.34	4.51e-01	Chi-squared		
systemic_lupus_erythematosus	10	90	736	16247	2.66	7.45e-03	Fisher-Exact		
###H3K4me3_Stomach_Mucosa	Strand: Both	Score threshold: NA	No Description###
telomere_length	3	27	458	16247	4.33	3.94e-02	Fisher-Exact		
cholesterol__total	7	89	458	16247	2.97	1.28e-02	Fisher-Exact		
ulcerative_colitis	3	115	458	16247	0.92	1.00e+00	Fisher-Exact		
crohns_disease	7	193	458	16247	1.30	5.06e-01	Fisher-Exact		
c-reactive_protein	2	46	458	16247	1.57	3.74e-01	Fisher-Exact		
type_2_diabetes	4	192	458	16247	0.73	8.24e-01	Fisher-Exact		
multiple_sclerosis	7	162	458	16247	1.57	2.29e-01	Fisher-Exact		
type_1_diabetes	2	78	458	16247	0.91	1.00e+00	Fisher-Exact		
inflammatory_bowel_disease	10	117	458	16247	3.27	1.74e-03	Fisher-Exact		
ldl_cholesterol	8	103	458	16247	2.94	8.65e-03	Fisher-Exact		
celiac_disease	1	58	458	16247	0.60	1.00e+00	Fisher-Exact		
hdl_cholesterol	7	133	458	16247	1.93	1.04e-01	Fisher-Exact		
breast_cancer	5	142	458	16247	1.26	6.04e-01	Fisher-Exact		
metabolite_levels	6	98	458	16247	2.26	5.86e-02	Fisher-Exact		
platelet_counts	6	76	458	16247	2.98	2.02e-02	Fisher-Exact		
rheumatoid_arthritis	6	185	458	16247	1.16	6.53e-01	Fisher-Exact		
systemic_lupus_erythematosus	4	90	458	16247	1.61	3.24e-01	Fisher-Exact		
###H3K4me3_CD34_Cultured_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	27	404	16247	9.01	4.77e-04	Fisher-Exact		
cholesterol__total	4	89	404	16247	1.85	2.86e-01	Fisher-Exact		
ulcerative_colitis	5	115	404	16247	1.79	2.13e-01	Fisher-Exact		
crohns_disease	11	193	404	16247	2.41	8.02e-03	Chi-squared		
c-reactive_protein	2	46	404	16247	1.79	3.18e-01	Fisher-Exact		
type_2_diabetes	5	192	404	16247	1.05	8.15e-01	Fisher-Exact		
multiple_sclerosis	7	162	404	16247	1.78	1.27e-01	Fisher-Exact		
type_1_diabetes	2	78	404	16247	1.03	7.21e-01	Fisher-Exact		
inflammatory_bowel_disease	9	117	404	16247	3.32	2.59e-03	Fisher-Exact		
ldl_cholesterol	4	103	404	16247	1.59	3.28e-01	Fisher-Exact		
celiac_disease	5	58	404	16247	3.73	1.45e-02	Fisher-Exact		
hdl_cholesterol	5	133	404	16247	1.54	3.90e-01	Fisher-Exact		
breast_cancer	3	142	404	16247	0.85	1.00e+00	Fisher-Exact		
metabolite_levels	5	98	404	16247	2.12	9.74e-02	Fisher-Exact		
platelet_counts	5	76	404	16247	2.78	4.07e-02	Fisher-Exact		
rheumatoid_arthritis	7	185	404	16247	1.55	2.32e-01	Fisher-Exact		
systemic_lupus_erythematosus	5	90	404	16247	2.32	7.36e-02	Fisher-Exact		
###H3K4me3_CD34_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	1	27	288	16247	2.14	3.83e-01	Fisher-Exact		
cholesterol__total	3	89	288	16247	1.94	2.10e-01	Fisher-Exact		
ulcerative_colitis	3	115	288	16247	1.49	4.61e-01	Fisher-Exact		
crohns_disease	8	193	288	16247	2.44	2.20e-02	Fisher-Exact		
c-reactive_protein	2	46	288	16247	2.53	1.96e-01	Fisher-Exact		
type_2_diabetes	5	192	288	16247	1.49	3.97e-01	Fisher-Exact		
multiple_sclerosis	4	162	288	16247	1.41	5.39e-01	Fisher-Exact		
type_1_diabetes	0	78	288	16247	0.00	6.51e-01	Fisher-Exact		
inflammatory_bowel_disease	5	117	288	16247	2.50	5.72e-02	Fisher-Exact		
ldl_cholesterol	4	103	288	16247	2.26	1.11e-01	Fisher-Exact		
celiac_disease	1	58	288	16247	0.97	1.00e+00	Fisher-Exact		
hdl_cholesterol	4	133	288	16247	1.73	3.02e-01	Fisher-Exact		
